algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,False,,137.22081678501755,5,,15,False,"[15, 15]",0.017929663701150463,1e-05,False,,step3_dynamic_sci_sfi_information_update,15,updated_upstream_not_converged,,15,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306196558681.4143,finite_crlb,0,15,True,90,15,5,4,3,15,15772.102495139237,15770.932379739257,15772.102669655624,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,False,2.453801911125467e-05,0,20270742,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306192253877.6591,finite_crlb,0,15,True,18,15,,4,3,15,1048.516153743804,1063.2153600163201,1048.98998277933,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,6.659436069615441e-07,1,20278661,4
15,False,0.6969171937625634,,25,True,15,False,,,1e-05,False,27.960396464953522,step2_joint_lm_jcls,,updated_not_converged,6.027943779092438,,False,,,,,coarse_jcls,Coarse JCLS,2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306192253877.6591,finite_crlb,0,15,True,18,15,25,4,3,15,21398.98233871297,21396.986236039378,21398.982585593785,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,False,3.28943888924886e-05,1,20278661,4
,False,,170.4052888790503,5,,15,False,"[15, 15]",0.012856677696723195,1e-05,False,,step3_dynamic_sci_sfi_information_update,15,updated_upstream_not_converged,,15,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306196558681.4143,finite_crlb,0,15,True,90,15,5,4,3,15,15369.893396862955,15368.528822458675,15369.89353431711,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,False,2.4168956646690202e-05,1,20278661,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306192253877.6591,finite_crlb,0,15,True,18,15,,4,3,15,1048.6681566740813,1063.4881826535232,1049.1382618014466,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,6.659436069615441e-07,2,20286580,4
15,False,0.6969171937625634,,25,True,15,False,,,1e-05,False,27.542829547950976,step2_joint_lm_jcls,,updated_not_converged,5.955216240080129,,False,,,,,coarse_jcls,Coarse JCLS,2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306192253877.6591,finite_crlb,0,15,True,18,15,25,4,3,15,22201.225180653255,22199.381557409226,22201.22543079011,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,False,3.4174398408270135e-05,2,20286580,4
,False,,68.24042995516604,5,,15,False,"[15, 15]",0.06358344557980904,1e-05,False,,step3_dynamic_sci_sfi_information_update,15,updated_upstream_not_converged,,15,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",2,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,306196558681.4143,finite_crlb,0,15,True,90,15,5,4,3,15,16502.366912995178,16500.69038438257,16502.367119584473,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,False,2.492100709079207e-05,2,20286580,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930898379367.7429,finite_crlb,0,19,True,30,19,,8,3,19,287.10587429801654,297.37583441846317,287.73289002041196,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,6.242872308752914e-07,0,20271751,8
7,True,4.572473708276177e-05,,9,False,19,False,,,1e-05,False,1.7547080310441656,step2_joint_lm_jcls,,converged,2.830355545895312e-09,,False,,,,,coarse_jcls,Coarse JCLS,3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930898379367.7429,finite_crlb,0,19,True,30,19,9,8,3,19,7942.890334685464,7942.87868809991,7942.89035348658,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,3.3348452503053853e-06,0,20271751,8
,True,,2553.8348041731506,5,,19,False,"[19, 19]",0.000704542164319615,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930932150644.7319,finite_crlb,0,19,True,150,19,5,8,3,19,7757.018928919017,7756.968047804899,7757.018929527448,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,3.99984230651871e-06,0,20271751,8
