product,num_users,num_satellites,trial_count,failure_count,single_ue_baseline_only,jcls_applicable,fim_rank_mean,state_dimension,rank_deficiency_mean,condition_number_mean,log10_condition_number_mean,crlb_position_m_mean,crlb_clock_ns_mean,stage_a_position_rmse_m_mean,stage_b_position_rmse_m_mean,stage_c_position_rmse_m_mean,stage_b_sync_error_ns_mean,stage_c_sync_error_ns_mean,stage_b_convergence_probability,stage_c_convergence_probability,failure_reasons
observability,3,5,5,0,False,True,16.0,16,0.0,19025088385162.273,12.34004958175333,7233.729709272511,4643.080506982173,9226.480772632753,25884.358977036587,25882.579138754125,9896.60342901883,9895.525760977052,0.0,1.0,
observability,3,6,5,0,False,True,17.0,17,0.0,1120466910901.7996,11.388618940714712,5367.04644916631,3131.7550525007136,9762.23708272523,26178.504436649466,26176.204548496895,11775.86573944736,11774.820481477938,0.0,1.0,
observability,3,7,5,0,False,True,18.0,18,0.0,87635853785.08377,10.826865710124776,4619.831460026496,2913.2971910325737,6594.971275732067,21135.23189617251,21120.25551405077,19690.951570941157,19690.828161922524,0.0,1.0,
observability,3,8,5,0,False,True,19.0,19,0.0,327469379209.2239,11.043750437091424,4220.82185552124,2547.8989912054467,7054.533353129125,18216.565419853316,18213.753823943545,10821.320613723772,10819.098510673686,0.0,1.0,
observability,4,1,5,0,False,True,12.0,16,4.0,8.149908693144596e+17,17.649206885195007,,,73238.43465505066,468619.37305146846,468619.37305146846,1478773.9741311213,1478773.9741311215,0.0,1.0,
observability,4,2,5,0,False,True,15.0,17,2.0,4.066796438514939e+17,17.476485046457054,,,56586.87355037377,93520.66120889463,93520.6534057488,167279.50219010242,167279.5038894996,0.0,1.0,
observability,4,3,5,0,False,True,17.4,18,0.6,1938499897697130.0,14.316956079274425,3884.683617362207,2874.892254430515,18799.985827442284,67870.09038763373,67869.86581011189,118296.17852831628,118295.98998217934,0.0,1.0,
observability,4,4,5,0,False,True,19.0,19,0.0,47405126335251.266,13.01429195742962,3159.8753088591543,2841.8319873698483,15367.16159224449,40529.80277132809,40530.47346311502,41618.692225724495,41618.59400422856,0.0,1.0,
observability,4,5,5,0,False,True,20.0,20,0.0,3510267929455.2803,12.317653381950759,4570.003376904165,2496.970150658873,9761.975290147297,51882.580636854866,51867.50251936722,27501.096326298015,27499.48394715746,0.0,1.0,
observability,4,6,5,0,False,True,21.0,21,0.0,4371606216030.4307,11.586004352731646,5886.619843438882,3225.0087725017265,6016.356126935019,40301.36868330024,40262.42282779453,35815.244949915075,35812.811662569984,0.0,1.0,
observability,4,7,5,0,False,True,22.0,22,0.0,23145715281983.855,12.171580397216976,3121.1895695188823,2120.017874831104,5625.854453320603,63379.43241721436,63347.69467841288,64553.124564118894,64519.568068186134,0.0,1.0,
observability,4,8,5,0,False,True,23.0,23,0.0,221520895473.2418,11.149923930825585,3877.94489256241,2126.182465572526,7276.662855906597,14442.072931163799,14440.976878773843,6111.191401672765,6110.039065094284,0.0,1.0,
observability,5,1,5,0,False,True,16.0,20,4.0,1.2925798872437788e+18,17.97868002970971,,,73488.08914332555,73447.15436666142,73448.85153676,12241.02166802841,12241.02166802842,0.0,1.0,
observability,5,2,5,0,False,True,19.0,21,2.0,2.2564127492018554e+17,17.332507858619103,,,48076.323666126045,51979.444246992396,51976.9260642955,7187.097660878474,7187.035522291297,0.0,1.0,
observability,5,3,5,0,False,True,21.6,22,0.4,5746095156289789.0,14.58230990993743,1059.5901540719133,2449.861337311721,35456.64363334065,101084.08650098558,101080.60708801511,136006.19365599952,135998.18389671206,0.0,1.0,
observability,5,4,5,0,False,True,23.0,23,0.0,22915589718143.355,12.663015002752262,3702.5642089373314,2280.7052986591584,13352.009785618084,19862.85646553582,19862.81523594932,7510.073783518383,7510.082377033077,0.0,1.0,
observability,5,5,5,0,False,True,24.0,24,0.0,1669111751233.4316,11.953882121353619,3776.9978304781084,2245.858108352307,10228.600419544953,29354.33569920396,29351.216536596028,12597.300129723784,12596.596623806208,0.0,1.0,
observability,5,6,5,0,False,True,25.0,25,0.0,3033390519090.2295,12.001830518779375,4656.837977432165,2837.2081967129393,7180.6673788071585,36332.625899139166,36328.61602559729,16459.042024112616,16458.44322358469,0.0,1.0,
observability,5,7,5,0,False,True,26.0,26,0.0,2048590798442.5923,11.830114637535956,3111.385937291492,1978.908009715416,6743.793086372786,30736.027084680718,30707.367981686937,35618.032971133565,35593.234433885096,0.0,1.0,
observability,5,8,5,0,False,True,27.0,27,0.0,1238752084725.4204,11.612465149756577,2252.396733253538,1385.98140420655,7758.429795461672,37503.083602924926,37290.287374510386,21502.813685915236,21501.12529582662,0.0,1.0,
