baseline_id,baseline_label,candidate_only,family,manuscript_ready,mean,metric,non_final,series_value,success_rate,trial_count,x_value
coarse_jcls,Coarse JCLS,True,network_size,False,308.754436467559,sync_error_ns,True,3,1.0,1,4
coarse_jcls,Coarse JCLS,True,network_size,False,92.33499290610989,sync_error_ns,True,5,0.0,1,4
coarse_jcls,Coarse JCLS,True,network_size,False,69.06010226968138,sync_error_ns,True,7,1.0,1,4
coarse_jcls,Coarse JCLS,True,network_size,False,103.34128722270863,sync_error_ns,True,3,1.0,1,5
coarse_jcls,Coarse JCLS,True,network_size,False,76.38489081978476,sync_error_ns,True,5,1.0,1,5
coarse_jcls,Coarse JCLS,True,network_size,False,4.709927391921246,sync_error_ns,True,7,1.0,1,5
coarse_jcls,Coarse JCLS,True,network_size,False,48.29643786295234,sync_error_ns,True,3,0.0,1,6
coarse_jcls,Coarse JCLS,True,network_size,False,90.24405228264207,sync_error_ns,True,5,1.0,1,6
coarse_jcls,Coarse JCLS,True,network_size,False,23.274756234553912,sync_error_ns,True,7,1.0,1,6
coarse_jcls,Coarse JCLS,True,network_size,False,22.225343957814218,sync_error_ns,True,3,1.0,1,7
coarse_jcls,Coarse JCLS,True,network_size,False,130.24295615548033,sync_error_ns,True,5,1.0,1,7
coarse_jcls,Coarse JCLS,True,network_size,False,51.46644456359597,sync_error_ns,True,7,1.0,1,7
coarse_jcls,Coarse JCLS,True,network_size,False,58.82830446657772,sync_error_ns,True,3,1.0,1,8
coarse_jcls,Coarse JCLS,True,network_size,False,149.13145498038955,sync_error_ns,True,5,1.0,1,8
coarse_jcls,Coarse JCLS,True,network_size,False,46.39642138186007,sync_error_ns,True,7,1.0,1,8
coarse_jcls,Coarse JCLS,True,network_size,False,36.490524490736675,sync_error_ns,True,3,1.0,1,9
coarse_jcls,Coarse JCLS,True,network_size,False,24.502855665803715,sync_error_ns,True,5,1.0,1,9
coarse_jcls,Coarse JCLS,True,network_size,False,132.70641810802377,sync_error_ns,True,7,1.0,1,9
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,71.85969157204933,sync_error_ns,True,3,1.0,1,10
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,65.37598758566531,sync_error_ns,True,5,1.0,1,10
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,45.86643969697008,sync_error_ns,True,7,1.0,1,10
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,33.30477896178289,sync_error_ns,True,3,1.0,1,11
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,63.43151271307187,sync_error_ns,True,5,1.0,1,11
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,56.21939692702593,sync_error_ns,True,7,1.0,1,11
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,108.52263596969763,sync_error_ns,True,3,1.0,1,12
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,86.28221723779122,sync_error_ns,True,5,1.0,1,12
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,19.677055430208505,sync_error_ns,True,7,1.0,1,12
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,118.51338977562273,sync_error_ns,True,3,1.0,1,13
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,40.903691014412956,sync_error_ns,True,5,1.0,1,13
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,24.209561503465352,sync_error_ns,True,7,1.0,1,13
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,20.019375532943265,sync_error_ns,True,3,1.0,1,14
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,78.62951259171389,sync_error_ns,True,5,1.0,1,14
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,5.581412424955327,sync_error_ns,True,7,1.0,1,14
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,56.80952327943255,sync_error_ns,True,3,1.0,1,15
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,18.311087669425724,sync_error_ns,True,5,1.0,1,15
